symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
FITB,2017-10-11 00:00:00+00:00,28.26,28.43,28.12,28.43,2797870,23.7566244429,23.8995340733,23.638934159,23.8995340733,2797870,0.0,1.0
FITB,2017-10-12 00:00:00+00:00,28.15,28.41,28.01,28.41,5996125,23.6641535056,23.8827211756,23.5464632217,23.8827211756,5996125,0.0,1.0
FITB,2017-10-13 00:00:00+00:00,28.06,28.28,27.72,28.05,7055587,23.588495466,23.7734373406,23.3026762051,23.5800890171,7055587,0.0,1.0
FITB,2017-10-16 00:00:00+00:00,28.37,28.37,28.01,28.01,3625951,23.8490953802,23.8490953802,23.5464632217,23.5464632217,3625951,0.0,1.0
FITB,2017-10-17 00:00:00+00:00,27.97,28.4,27.94,28.38,4485199,23.5128374263,23.8743147268,23.4876180798,23.8575018291,4485199,0.0,1.0
FITB,2017-10-18 00:00:00+00:00,28.07,28.18,27.91,28.16,3673762,23.5969019148,23.6893728521,23.4623987333,23.6725599544,3673762,0.0,1.0
FITB,2017-10-19 00:00:00+00:00,28.28,28.34,27.77,27.85,3505364,23.7734373406,23.8238760337,23.3447084494,23.4119600402,3505364,0.0,1.0
FITB,2017-10-20 00:00:00+00:00,28.6,28.66,28.43,28.61,3875731,24.0424437037,24.0928823968,23.8995340733,24.0508501526,3875731,0.0,1.0
FITB,2017-10-23 00:00:00+00:00,28.43,28.65,28.37,28.59,4868746,23.8995340733,24.084475948,23.8490953802,24.0340372549,4868746,0.0,1.0
FITB,2017-10-24 00:00:00+00:00,28.6,28.71,27.99,27.99,7683338,24.0424437037,24.134914641,23.529650324,23.529650324,7683338,0.0,1.0
FITB,2017-10-25 00:00:00+00:00,28.58,29.22,28.41,28.88,6916263,24.025630806,24.5636435323,23.8827211756,24.2778242715,6916263,0.0,1.0
